Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Alaskan Husky,5 - Spitz and Primitive Types,Non-Recognized (Landrace),United States,Medium-Large,51-64,16-27,12-15,Alert; Energetic; Friendly; Loyal; Independent,Sled Pulling; Racing; Companion,Double; Medium; Dense,Any color or color combination,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Eye Issues; No Major Health Issues
American Hairless Terrier,3 - Terriers,Terrier,United States,Small,25-40,2.7-7.3,14-16,Alert; Courageous; Friendly; Intelligent; Lively,Companion; Hunting,Hairless or Coated Variants,Any color or color combination,Moderate,Moderate,Moderate,Yes,Yes,Low to None,Skin Sensitivity; Hypothyroidism; Eye Issues
American Water Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Sporting,United States,Small-Medium,38-46,11-20,12-15,Eager; Even-Tempered; Friendly; Happy; Intelligent,Hunting; Water Retrieval; Family,Medium; Wavy; Curly; Oily; Double,Chocolate; Brown; Dark Brown,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Kangal Shepherd Dog,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Turkey,Giant,71-81,41-66,12-15,Alert; Confident; Courageous; Dignified; Loyal,Guardian; Livestock Protection,Short; Dense; Double,Fawn; Cream; White; Black,High,High,Moderate,Yes (with proper socialization),Yes,Very High,Hip Dysplasia; Bloat; Hypothyroidism
Akbash,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Turkey,Giant,71-81,36-66,10-12,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Dense,White; Cream,High,High,Moderate,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
East European Shepherd,1 - Sheepdogs and Cattle Dogs,Non-Recognized,Russia/Soviet Union,Large-Giant,66-90,45-70,10-14,Alert; Courageous; Determined; Loyal; Protective,Guardian; Military; Police; Working,Medium; Double; Dense,Black and Tan; Black and Red; Sable,Moderate,Very High,High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Chortai,10 - Sighthounds,Non-Recognized,Russia,Large,62-78,23-30,12-15,Alert; Courageous; Dignified; Independent; Quiet,Hunting; Sighthound; Companion,Medium; Silky; Feathered,Fawn; Black; Brindle; White; Cream,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Heart Issues; No Major Health Issues
Bakharwal,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Kashmir/Himalayas,Giant,66-76,50-100,10-13,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Long; Double; Thick; Fluffy,White; Cream; Fawn; Black; Brindle; Piebald,High,High,Very High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Bully Kutta,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Pakistan,Giant,76-91,59-91,10-14,Alert; Courageous; Determined; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Thick; Dense,Fawn; Brindle; Black; Red; White,High,High,Low,Moderate (requires experienced owner),Moderate,Moderate,Hip Dysplasia; Bloat; Heart Issues
Karakachan,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Bulgaria,Giant,65-84,35-80,10-13,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Long; Double; Thick,White; Cream; Fawn; Black,High,High,Very High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Kars,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Turkey,Giant,71-86,50-100,10-12,Alert; Confident; Courageous; Dignified; Loyal,Guardian; Livestock Protection,Long; Double; Thick; Dense,White; Cream; Gray,High,Moderate,Very High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Maremmano-Abruzzese,1 - Sheepdogs and Cattle Dogs,Non-Recognized,Italy,Large-Giant,60-73,30-45,10-13,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Long; Thick; Dense; Double,White; Cream,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Sarabi,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Iran,Giant,71-86,45-100,10-12,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Thick; Dense,Fawn; Brindle; Black; Red; White,High,High,Low,Yes (with socialization),Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
East Siberian Laika,5 - Spitz and Primitive Types,Non-Sporting,Russia,Medium-Large,51-63,18-30,12-14,Alert; Brave; Determined; Friendly; Loyal,Hunting; Sled Pulling; Companion,Double; Medium; Dense; Thick,Black; White; Brown; Combinations,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Chukotka Sled Dog,5 - Spitz and Primitive Types,Non-Recognized,Russia,Medium-Large,51-64,18-30,12-15,Alert; Energetic; Friendly; Loyal; Independent,Sled Pulling; Companion,Double; Medium; Dense; Thick,Any color or color combination,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; No Major Health Issues
Kamchatka Sled Dog,5 - Spitz and Primitive Types,Non-Recognized,Russia,Medium-Large,51-64,18-30,12-14,Alert; Courageous; Energetic; Friendly; Loyal,Sled Pulling; Companion,Double; Medium; Dense,Any color or color combination,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Karelo-Finnish Laika,5 - Spitz and Primitive Types,Non-Sporting,Russia/Finland,Small-Medium,38-50,10-16,12-15,Alert; Courageous; Energetic; Friendly; Independent,Hunting; Companion,Double; Short; Dense; Thick,Red; Black and Tan; Brown; White,Moderate,High,High,Yes,Yes,Very High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
American Leopard Hound,6 - Scenthounds,Non-Recognized,United States,Large,56-69,27-41,12-15,Alert; Determined; Energetic; Friendly; Loyal,Hunting; Companion,Short; Smooth; Dense,Leopard Spots; Brindle; Solid Colors,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Alaskan Klee Kai,5 - Spitz and Primitive Types,Non-Sporting,United States,Toy-Small,33-43,3.2-7.3,12-16,Alert; Friendly; Playful; Vocal; Intelligent,Companion; Family,Double; Medium; Dense,Black and White; Red and White; Gray and White,Moderate,Moderate,Very High,Yes,Yes,Very High,Patellar Luxation; Hip Dysplasia; Progressive Retinal Atrophy
Alpine Dachsbracke,6 - Scenthounds,Non-Recognized,Austria,Small,33-41,9-15,12-15,Alert; Affectionate; Courageous; Friendly; Determined,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Red; Black and Tan; Brindle,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Aidi,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Morocco/North Africa,Medium-Large,52-62,20-55,10-12,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Dense,Fawn; White; Brindle; Red; Black,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Africanis,6 - Scenthounds,Non-Recognized,Southern Africa,Medium-Large,48-63,16-32,12-15,Alert; Courageous; Friendly; Loyal; Adaptable,Hunting; Companion; Guardian,Short; Smooth; Dense,Any color or color combination,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Aksaray Malaklisi,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Turkey,Large-Giant,71-81,41-65,10-12,Alert; Confident; Courageous; Dignified; Loyal,Guardian; Livestock Protection,Short; Smooth; Dense,Fawn; Cream; White; Brindle,High,High,Moderate,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Alano Español,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Spain,Large-Giant,61-72,34-50,10-12,Alert; Courageous; Determined; Loyal; Protective,Guardian; Hunting; Protection,Short; Smooth; Thick,Fawn; Brindle; Black; White Markings,High,High,Low,Yes (with socialization),Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Ariège Pointer,7 - Pointers,Non-Recognized,France,Medium-Large,56-65,25-34,12-14,Alert; Eager; Even-Tempered; Friendly; Lively,Hunting; Pointing; Family,Short; Fine; Smooth,White; Brown; Liver Spots,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Ariégeois,6 - Scenthounds,Non-Recognized,France,Medium-Large,52-64,25-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Black; Tan; Tricolor,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Basset Artésien Normand,6 - Scenthounds,Non-Recognized,France,Small,28-36,13-18,12-15,Affectionate; Alert; Courageous; Determined; Friendly,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; White and Orange; White and Lemon,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Back Issues
Basset Bleu de Gascogne,6 - Scenthounds,Non-Recognized,France,Small,30-38,16-18,12-15,Affectionate; Alert; Courageous; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Blue Mottled; Black; Tan,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Back Issues
Billy,6 - Scenthounds,Non-Recognized,France,Large,58-66,24-30,12-15,Alert; Courageous; Determined; Friendly; Lively,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Orange; Lemon Markings,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Bleu de Gascogne,6 - Scenthounds,Non-Recognized,France,Large,60-72,30-35,10-12,Alert; Courageous; Determined; Friendly; Lively,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Blue Mottled; Black; Tan; Tricolor,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Bosnian Coarse-haired Hound,6 - Scenthounds,Non-Recognized,Bosnia,Medium-Large,46-56,16-24,12-14,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Medium; Rough; Wiry; Double,Red; Black and Tan; Tricolor,Moderate,High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Braque d'Auvergne,7 - Pointers,Non-Recognized,France,Medium-Large,51-63,19-28,12-14,Alert; Eager; Even-Tempered; Friendly; Lively,Hunting; Pointing; Family,Short; Fine; Smooth,White; Black; Black Spots,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Bull Arab,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Australia,Large-Giant,58-71,36-73,10-14,Alert; Courageous; Determined; Loyal; Protective,Guardian; Hunting; Companion,Short; Smooth; Close,Fawn; Brindle; Black; Red,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat
Burgos Pointer,7 - Pointers,Non-Recognized,Spain,Large,61-67,25-34,12-15,Alert; Eager; Even-Tempered; Friendly; Lively,Hunting; Pointing; Family,Short; Fine; Smooth,White; Liver; Liver Spots,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Ca de Bou,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Spain (Mallorca),Medium-Large,52-58,30-38,10-13,Alert; Courageous; Determined; Loyal; Protective,Guardian; Companion,Short; Smooth; Dense,Fawn; Brindle; Black,Moderate,High,Low,Yes,Yes (with supervision),Moderate,Hip Dysplasia; Elbow Dysplasia; Bloat
Cao de Castro Laboreiro,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Portugal,Medium-Large,52-60,17-30,12-14,Alert; Courageous; Determined; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Dense,Brindle; Wolf Gray; Red,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Cao Fila de Sao Miguel,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Portugal (Azores),Large,50-60,30-50,9-12,Alert; Courageous; Determined; Loyal; Protective,Guardian; Livestock Protection,Short; Smooth; Dense,Fawn; Brindle; Black Mask,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Chilean Terrier,3 - Terriers,Non-Recognized,Chile,Small-Medium,28-35,6-10,12-14,Alert; Courageous; Energetic; Friendly; Playful,Hunting; Companion,Short; Smooth; Dense,Black and Tan; Brown and Tan; White and Black,Moderate,Moderate,Low,Yes,Yes,Moderate,Patellar Luxation; Hip Dysplasia; No Major Health Issues
Chien Français Blanc et Noir,6 - Scenthounds,Non-Recognized,France,Large,62-72,27-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Black; Tan Markings,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Chien Français Blanc et Orange,6 - Scenthounds,Non-Recognized,France,Large,62-72,27-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Orange; Tan Markings,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Chien Français Tricolore,6 - Scenthounds,Non-Recognized,France,Large,62-72,27-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Black; Tan; Tricolor,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
Chongqing,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,China,Medium,40-50,16-25,12-14,Alert; Confident; Courageous; Loyal; Protective,Guardian; Companion,Short; Smooth; Dense,Red; Fawn,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
Chippiparai,10 - Sighthounds,Non-Recognized,India,Large,56-65,16-25,12-15,Alert; Affectionate; Brave; Courageous; Loyal,Hunting; Sighthound; Companion,Short; Smooth; Fine,Fawn; Red; Cream,Moderate,Very High,Low,Yes,Yes,Low,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Cimarrón Uruguayo,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Uruguay,Large,61-68,40-50,10-15,Alert; Courageous; Determined; Loyal; Protective,Guardian; Hunting; Protection,Short; Smooth; Dense,Fawn; Brindle; Black,High,High,Low,Moderate (requires experienced owner),Moderate,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Continental Bulldog,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Switzerland,Medium,43-50,25-35,12-15,Alert; Confident; Courageous; Friendly; Loyal,Guardian; Companion; Family,Short; Smooth; Dense,Fawn; Brindle; White Markings,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Respiratory Issues; Skin Folds
Corsican Dog,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Corsica,Large,61-71,25-45,11-14,Alert; Courageous; Determined; Loyal; Protective,Guardian; Hunting; Family,Short; Smooth; Rough variants; Dense,Fawn; Red; Black; Brindle,Moderate,High,Low-Moderate,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Elbow Dysplasia
Cretan Hound,6 - Scenthounds,Non-Recognized,Greece (Crete),Medium-Large,55-70,17-27,12-15,Alert; Courageous; Friendly; Independent; Loyal,Hunting; Companion; Guardian,Short; Smooth; Dense,Red; Black; Tan; White; Combinations,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Dingo,5 - Spitz and Primitive Types,Non-Recognized,Australia,Medium,41-63,9-18,12-15,Alert; Brave; Loyal; Independent; Intelligent,Hunting; Guardian; Companion,Short; Smooth; Dense,Red; Yellow; Cream; White; Black and Tan,High,Very High,Low,Yes (wild-caught adults may be unpredictable),Moderate,Moderate,Hip Dysplasia; No Major Health Issues
Donggyeongi,6 - Scenthounds,Non-Recognized,South Korea,Medium-Large,50-63,14-30,12-14,Alert; Brave; Friendly; Loyal; Independent,Hunting; Companion,Short; Smooth; Dense,Fawn; Red; White; Brindle,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Drentse Patrijshond,7 - Pointers,Non-Recognized,Netherlands,Medium-Large,55-63,20-27,12-14,Alert; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Pointing; Family,Medium; Wavy; Feathered; Double,White; Brown; Brown Spots,Moderate,Very High,Moderate,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Drever,6 - Scenthounds,Non-Recognized,Sweden,Small,30-38,12-15,12-15,Alert; Affectionate; Courageous; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; Red and White; Black and Tan,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Intervertebral Disc Disease; No Major Health Issues
Dunker,6 - Scenthounds,Non-Recognized,Norway,Medium,48-55,15-23,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Blue Mottled; Black and Tan; Tricolor,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Ecuadorian Hairless Dog,5 - Spitz and Primitive Types,Non-Recognized,Ecuador,Small-Medium,23-40,4-8,12-15,Alert; Affectionate; Friendly; Loyal; Playful,Companion; Family,Hairless; Some Coated Variants,Any color or color combination,Moderate,Moderate,Moderate (skin care),Yes,Yes,None (Hairless),Skin Sensitivity; Dental Issues; Cold Sensitivity
English Shepherd,1 - Sheepdogs and Cattle Dogs,Herding (Foundation),United States,Medium-Large,43-58,18-34,12-14,Alert; Brave; Confident; Eager; Intelligent; Loyal,Herding; Companion; Family,Medium; Double; Wavy; Rough,Black and White; Sable and White; Tricolor,Moderate,High,High,Yes,Yes,High,Hip Dysplasia; Collie Eye Anomaly; No Major Health Issues
Estrela Mountain Dog,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Portugal,Giant,62-72,30-60,10-12,Alert; Confident; Courageous; Dignified; Loyal,Guardian; Livestock Protection,Long; Double; Thick; Feathered,Fawn; Yellow; Red; White Markings,Moderate,High,Very High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Finnish Hound,6 - Scenthounds,Non-Recognized,Finland,Medium-Large,50-61,20-27,12-14,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; White; Black and Tan,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Florida Cracker Cur,6 - Scenthounds,Non-Recognized,United States,Medium,40-58,16-30,12-16,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Herding; Companion,Short; Smooth; Dense,Yellow; Cream; Red; Black; Brindle,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; No Major Health Issues
French Spaniel,8 - Retrievers; Flushing Dogs; Water Dogs,Non-Recognized,France,Large,55-61,20-27,12-15,Alert; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Flushing; Companion; Family,Medium; Wavy; Feathered; Dense,Brown and White; Tricolor,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Gascon Saintongeois,6 - Scenthounds,Non-Recognized,France,Large,62-72,25-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,White; Black; Tan; Tricolor,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
German Hound,6 - Scenthounds,Non-Recognized,Germany,Small-Medium,40-53,17-22,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; Red and White; Black and Tan,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
German Roughhaired Pointer,7 - Pointers,Non-Recognized,Germany,Large,58-70,25-34,12-15,Alert; Eager; Even-Tempered; Friendly; Intelligent,Hunting; Pointing; Family,Medium; Rough; Wiry; Double,Liver; Liver and White; Brown Roan,Moderate,Very High,High,Yes,Yes,High,Hip Dysplasia; Elbow Dysplasia; Bloat
Georgian Shepherd,2 - Pinschers and Schnauzers; Molossoid Breeds,Non-Recognized,Georgia,Giant,71-86,45-100,10-12,Alert; Confident; Courageous; Loyal; Protective,Guardian; Livestock Protection,Long; Double; Thick; Fluffy,Fawn; White; Cream; Red; Brindle; Piebald,High,Moderate,Very High,Yes (with socialization),Yes,Very High,Hip Dysplasia; Bloat; Elbow Dysplasia
Slovenský Kopov,6 - Scenthounds,Non-Recognized,Slovakia,Medium,40-50,15-20,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Black and Tan; Tricolor,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Grand Basset Griffon Vendéen,6 - Scenthounds,Non-Recognized,France,Small-Medium,40-45,18-20,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Wiry,White; Orange; Lemon; Tricolor,Moderate,High,Moderate-High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Grand Griffon Vendéen,6 - Scenthounds,Non-Recognized,France,Large,60-65,25-30,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Wiry,White; Orange; Lemon; Tricolor,Moderate,Very High,Moderate-High,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Ear Infections
Griffon Bleu de Gascogne,6 - Scenthounds,Non-Recognized,France,Large,50-60,20-25,12-15,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Wiry,Blue Mottled; Black; Tan; Tricolor,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Griffon Fauve de Bretagne,6 - Scenthounds,Non-Recognized,France,Medium,48-56,18-22,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Medium; Double; Rough; Wiry,Fawn; Red; Gold,Moderate,Very High,Moderate,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; No Major Health Issues
Halden Hound,6 - Scenthounds,Non-Recognized,Norway,Medium,47-56,15-20,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; Black and White; Brown and White,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Hamiltonstövare,6 - Scenthounds,Non-Recognized,Sweden,Medium,49-57,18-27,12-15,Alert; Courageous; Even-Tempered; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Tricolor; Black and White; Brown and Tan,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; No Major Health Issues
Hanoverian Hound,6 - Scenthounds,Non-Recognized,Germany,Large,50-65,27-39,12-14,Alert; Courageous; Determined; Friendly; Loyal,Hunting; Scent Trailing; Companion,Short; Smooth; Dense,Red; Brown; Brindle,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Elbow Dysplasia; Ear Infections
